Image,Tree_ID,Confidence,Center_X,Center_Y,Width,Height,Area,Canopy_Size
002111_jpg.rf.dc0bfd7b60ac8ba1838f224f4ebd3181.jpg,3,0.371,249.64,75.57,206.25,151.13,31170.97,178.69
002111_jpg.rf.dc0bfd7b60ac8ba1838f224f4ebd3181.jpg,4,0.262,94.46,573.37,188.91,133.27,25175.84,161.09
002209_jpg.rf.bca4df97a8b474bd80de1a19bbad4de1.jpg,1,0.571,335.48,515.73,282.05,248.53,70099.5,265.29
002209_jpg.rf.bca4df97a8b474bd80de1a19bbad4de1.jpg,2,0.538,521.86,250.38,236.28,263.65,62293.54,249.96
002209_jpg.rf.bca4df97a8b474bd80de1a19bbad4de1.jpg,3,0.274,390.36,54.62,271.07,109.24,29610.72,190.15
002761_jpg.rf.784b81a87fb828e7ef16e18d3249c71f.jpg,1,0.74,360.69,254.35,250.11,243.76,60966.9,246.94
002817_jpg.rf.03a58689f25d993cb66085eb0a04aa13.jpg,1,0.721,256.32,524.18,265.35,231.64,61465.95,248.5
002817_jpg.rf.03a58689f25d993cb66085eb0a04aa13.jpg,2,0.696,90.7,81.86,181.03,163.61,29618.39,172.32
002817_jpg.rf.03a58689f25d993cb66085eb0a04aa13.jpg,3,0.619,60.26,561.76,120.52,156.48,18859.48,138.5
002817_jpg.rf.03a58689f25d993cb66085eb0a04aa13.jpg,4,0.523,288.72,71.61,213.79,143.22,30619.36,178.51
002817_jpg.rf.03a58689f25d993cb66085eb0a04aa13.jpg,5,0.36,57.53,394.93,114.95,257.14,29558.48,186.05
003205_jpg.rf.4a0c5878835bb6e45b56374c26f5fc6b.jpg,1,0.642,450.65,175.14,240.83,232.33,55953.22,236.58
003205_jpg.rf.4a0c5878835bb6e45b56374c26f5fc6b.jpg,2,0.573,78.32,536.35,156.08,207.31,32356.38,181.69
003205_jpg.rf.4a0c5878835bb6e45b56374c26f5fc6b.jpg,3,0.29,99.47,516.62,198.7,246.77,49031.58,222.73
003291_jpg.rf.17f92747c3edbee387d987881765e57d.jpg,1,0.565,339.37,378.66,281.87,286.06,80631.11,283.96
003291_jpg.rf.17f92747c3edbee387d987881765e57d.jpg,2,0.365,58.8,213.31,117.56,277.57,32630.47,197.56
003660_jpg.rf.3147336016535dd4d3278d831099806e.jpg,1,0.55,309.78,575.74,265.82,128.44,34142.73,197.13
003660_jpg.rf.3147336016535dd4d3278d831099806e.jpg,2,0.509,554.75,503.59,169.68,272.64,46262.47,221.16
003660_jpg.rf.3147336016535dd4d3278d831099806e.jpg,3,0.449,315.82,268.36,225.24,209.27,47136.14,217.26
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,1,0.542,468.29,31.27,86.65,62.1,5381.12,74.38
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,2,0.526,564.7,258.34,115.95,82.95,9618.03,99.45
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,3,0.496,69.73,212.68,87.58,64.83,5677.36,76.2
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,4,0.49,197.7,607.69,97.28,64.61,6285.47,80.95
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,5,0.489,273.3,34.0,98.37,67.46,6636.79,82.92
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,6,0.489,179.82,79.37,94.63,73.92,6995.1,84.28
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,7,0.477,486.24,487.47,89.38,73.1,6534.33,81.24
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,8,0.469,391.66,526.23,105.6,74.77,7895.67,90.18
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,9,0.469,183.14,173.04,95.22,69.94,6659.64,82.58
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,10,0.467,187.9,262.15,93.41,71.89,6715.03,82.65
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,11,0.467,192.7,357.13,98.47,76.31,7514.07,87.39
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,12,0.467,393.43,605.75,127.3,68.26,8689.54,97.78
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,13,0.465,368.79,169.32,99.24,75.63,7505.21,87.43
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,14,0.465,572.44,532.05,88.25,69.57,6139.33,78.91
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,15,0.464,383.58,435.54,97.13,74.45,7231.77,85.79
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,16,0.464,464.61,114.57,98.75,79.65,7864.77,89.2
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,17,0.462,184.58,445.6,94.39,70.04,6611.2,82.22
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,18,0.461,476.68,305.17,91.07,71.53,6513.87,81.3
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,19,0.459,281.22,397.21,88.82,71.33,6335.42,80.07
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,20,0.456,85.09,309.71,96.72,73.68,7125.97,85.2
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,21,0.455,367.13,72.37,99.45,78.37,7793.62,88.91
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,22,0.446,387.33,342.11,100.09,80.63,8069.7,90.36
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,23,0.446,443.98,216.13,113.2,83.49,9451.75,98.35
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,24,0.446,280.76,576.58,104.17,73.74,7681.77,88.96
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,25,0.443,568.7,341.13,101.73,75.86,7717.29,88.8
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,26,0.443,572.96,436.52,107.4,79.76,8565.8,93.58
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,27,0.442,571.87,534.09,107.71,82.67,8903.57,95.19
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,28,0.44,484.15,392.85,97.29,80.07,7789.89,88.68
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,29,0.44,274.69,124.05,97.17,75.47,7333.28,86.32
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,30,0.439,274.28,304.13,86.37,69.93,6040.01,78.15
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,31,0.437,68.28,121.15,93.23,71.54,6669.76,82.39
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,32,0.432,84.55,486.5,87.94,66.6,5856.09,77.27
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,33,0.428,554.01,70.04,88.35,73.16,6463.41,80.75
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,34,0.427,274.78,483.88,110.35,81.67,9012.0,96.01
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,35,0.415,85.93,575.29,108.78,77.12,8389.63,92.95
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,36,0.409,276.5,211.09,101.06,79.16,7999.88,90.11
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,37,0.375,553.58,13.53,101.03,27.06,2733.68,64.05
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,38,0.351,183.44,170.18,111.45,88.88,9905.63,100.16
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,39,0.342,18.37,357.82,36.74,74.12,2723.03,55.43
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,40,0.341,178.23,14.13,110.99,28.25,3135.44,69.62
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,41,0.336,191.75,356.64,121.63,89.48,10883.08,105.55
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,42,0.323,393.68,611.07,91.89,56.9,5228.0,74.39
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,43,0.302,565.68,170.87,80.85,65.32,5281.47,73.09
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,44,0.301,23.96,448.55,47.88,71.47,3422.09,59.68
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,45,0.3,17.6,448.36,35.2,63.88,2248.26,49.54
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,46,0.296,68.09,120.38,115.83,85.89,9948.31,100.86
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,47,0.294,465.66,115.88,79.23,64.61,5119.0,71.92
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,48,0.292,17.82,614.71,35.62,50.59,1802.07,43.11
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,49,0.289,386.18,341.48,123.5,95.08,11742.65,109.29
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,50,0.287,516.38,150.67,75.84,54.74,4152.0,65.29
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,51,0.286,84.14,485.68,111.74,81.57,9114.57,96.65
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,52,0.271,553.33,73.65,111.54,83.45,9307.57,97.49
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,53,0.27,180.64,79.42,122.89,84.81,10422.66,103.85
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,54,0.269,373.62,12.29,118.05,24.52,2895.15,71.29
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,55,0.265,546.83,166.88,145.68,91.59,13342.55,118.63
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,56,0.264,279.77,575.54,131.84,84.74,11172.27,108.29
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,57,0.264,565.53,257.04,91.81,68.2,6261.71,80.01
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,58,0.256,186.82,262.69,115.71,83.8,9696.86,99.76
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,59,0.253,84.92,574.65,136.63,88.03,12026.78,112.33
12aj_13_png_jpg.rf.8298a6f824a0fb7e4bd2d81ef3df312f.jpg,60,0.251,68.68,215.04,110.57,81.25,8983.1,95.91
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,1,0.537,610.27,108.85,59.47,64.42,3831.14,61.95
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,2,0.535,167.32,588.95,98.96,78.65,7783.51,88.81
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,3,0.516,442.67,24.7,86.71,49.4,4283.43,68.05
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,4,0.508,536.28,69.18,88.47,67.22,5946.76,77.84
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,5,0.504,441.01,576.75,82.18,61.67,5068.53,71.93
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,6,0.503,345.53,611.18,73.49,56.1,4122.46,64.79
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,7,0.497,544.34,330.18,85.38,66.45,5673.51,75.91
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,8,0.494,350.02,436.48,71.59,54.83,3924.9,63.21
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,9,0.491,459.73,217.37,97.77,71.61,7001.11,84.69
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,10,0.483,542.03,261.45,91.8,63.84,5859.91,77.82
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,11,0.477,62.47,368.87,98.28,71.39,7015.67,84.83
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,12,0.471,535.94,517.63,98.43,75.58,7439.88,87.01
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,13,0.468,243.65,17.57,81.54,35.15,2865.93,58.34
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,14,0.465,611.55,404.75,56.9,73.29,4170.09,65.09
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,15,0.464,262.1,469.41,96.0,75.78,7275.07,85.89
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,16,0.459,150.76,55.68,88.31,66.58,5879.46,77.44
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,17,0.459,65.76,550.93,97.03,74.9,7267.92,85.97
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,18,0.457,333.32,151.99,87.28,68.56,5984.45,77.92
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,19,0.452,64.22,459.66,99.1,72.05,7139.58,85.57
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,20,0.45,421.01,505.14,76.01,58.96,4481.89,67.49
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,21,0.45,344.22,529.28,98.9,73.64,7282.79,86.27
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,22,0.449,164.52,499.04,98.83,72.81,7196.21,85.82
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,23,0.449,457.73,290.08,101.81,69.6,7086.24,85.71
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,24,0.448,53.55,20.91,95.78,41.81,4004.67,68.8
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,25,0.445,616.85,311.46,46.3,68.91,3190.49,57.6
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,26,0.442,333.03,64.05,97.09,69.18,6716.32,83.13
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,27,0.438,426.64,378.95,92.96,72.08,6700.37,82.52
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,28,0.436,443.62,120.66,98.62,78.53,7743.97,88.57
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,29,0.433,55.17,106.21,101.02,72.86,7360.09,86.94
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,30,0.428,339.31,259.59,88.95,61.67,5485.06,75.31
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,31,0.426,611.68,36.78,56.64,68.45,3877.23,62.55
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,32,0.423,337.7,339.3,94.86,73.81,7001.84,84.34
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,33,0.422,533.94,423.05,105.21,83.64,8800.49,94.43
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,34,0.422,245.39,106.16,99.15,80.7,8001.7,89.93
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,35,0.421,262.36,569.36,99.02,81.09,8029.64,90.06
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,36,0.417,70.14,622.69,98.72,34.62,3418.29,66.67
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,37,0.416,67.75,282.17,93.74,72.36,6783.33,83.05
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,38,0.412,157.98,222.82,102.7,82.49,8471.49,92.59
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,39,0.411,542.28,165.86,103.38,82.58,8536.86,92.98
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,40,0.41,434.54,458.19,78.33,51.41,4026.54,64.87
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,41,0.4,158.95,409.23,100.27,78.59,7879.69,89.43
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,42,0.399,150.02,55.1,105.63,83.79,8851.49,94.71
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,43,0.378,59.46,194.21,89.25,69.09,6166.35,79.17
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,44,0.373,258.62,278.02,92.42,77.47,7159.3,84.94
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,45,0.369,160.62,409.27,123.0,97.92,12045.1,110.46
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,46,0.356,613.26,593.94,53.48,74.15,3965.58,63.82
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,47,0.349,438.84,577.33,103.36,76.31,7887.65,89.84
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,48,0.34,537.87,521.31,130.13,92.17,11994.95,111.15
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,49,0.335,166.6,589.7,123.88,90.79,11247.31,107.34
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,50,0.334,347.36,608.52,96.08,62.95,6048.09,79.51
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,51,0.334,59.46,195.97,115.09,84.25,9696.49,99.67
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,52,0.327,344.0,12.29,97.84,24.55,2402.29,61.2
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,53,0.322,614.82,496.11,50.36,73.39,3695.57,61.87
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,54,0.311,525.86,11.5,96.35,22.99,2215.56,59.67
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,55,0.288,618.24,228.64,43.53,69.05,3005.9,56.29
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,56,0.278,443.78,29.67,107.4,59.35,6373.75,83.37
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,57,0.276,330.46,153.63,107.33,80.9,8682.59,94.11
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,58,0.267,604.62,591.57,70.77,89.58,6339.63,80.18
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,59,0.262,165.48,501.16,128.15,86.48,11082.95,107.32
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,60,0.262,427.38,380.55,120.98,91.14,11025.45,106.06
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,61,0.257,531.38,424.17,137.85,97.23,13403.02,117.54
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,62,0.256,617.5,404.61,44.88,64.01,2872.83,54.45
12aj_15_png_jpg.rf.3b45c443d15d4c97a417915cce5ed3c7.jpg,63,0.251,246.18,22.88,103.53,45.75,4736.69,74.64
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,1,0.58,575.31,614.86,91.03,50.29,4577.89,70.66
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,2,0.564,177.63,447.23,83.89,66.9,5612.4,75.4
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,3,0.554,264.57,491.93,80.54,63.74,5133.05,72.14
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,4,0.543,256.67,310.04,84.42,62.5,5276.27,73.46
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,5,0.54,366.93,358.21,90.85,61.57,5593.09,76.21
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,6,0.529,179.48,535.76,79.54,60.72,4829.82,70.13
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,7,0.523,376.57,617.75,86.58,44.51,3853.43,65.54
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,8,0.523,176.73,619.11,84.41,41.78,3526.65,63.09
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,9,0.511,561.15,78.37,86.02,62.51,5377.25,74.27
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,10,0.505,69.05,399.68,71.74,54.49,3909.19,63.12
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,11,0.494,170.04,358.0,86.64,68.94,5973.29,77.79
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,12,0.492,268.53,585.94,89.27,70.29,6275.22,79.78
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,13,0.49,366.28,451.84,83.83,67.83,5686.26,75.83
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,14,0.488,63.45,218.46,88.56,69.24,6132.11,78.9
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,15,0.488,462.99,577.99,86.63,61.83,5356.39,74.23
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,16,0.476,62.76,313.18,78.37,61.16,4793.02,69.76
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,17,0.467,562.51,165.16,82.91,66.25,5492.57,74.58
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,18,0.459,71.49,488.77,84.01,63.34,5321.1,73.67
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,19,0.458,258.23,400.51,81.57,63.99,5219.98,72.78
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,20,0.456,451.92,33.04,90.77,61.03,5539.38,75.9
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,21,0.454,463.7,210.19,98.28,79.02,7765.38,88.65
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,22,0.451,365.76,172.79,92.22,70.92,6539.92,81.57
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,23,0.451,364.83,265.68,89.9,69.59,6256.29,79.75
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,24,0.45,382.88,546.43,75.72,54.64,4137.28,65.18
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,25,0.447,56.49,129.4,81.55,61.87,5045.7,71.71
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,26,0.445,253.33,216.02,91.63,64.46,5906.69,78.05
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,27,0.44,463.12,306.58,88.56,73.56,6514.06,81.06
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,28,0.436,461.15,117.85,85.21,70.34,5994.03,77.78
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,29,0.433,166.84,266.07,91.6,67.83,6213.39,79.72
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,30,0.432,462.8,395.03,85.55,65.08,5567.67,75.32
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,31,0.417,568.71,531.37,82.82,63.81,5284.68,73.31
12aj_18_png_jpg.rf.f2501ec52ed84fe16774668b876b5f5c.jpg,32,0.411,567.79,351.07,88.05,65.32,5751.08,76.68
